"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"Base Year",
"Philippines","566","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"0.200798613344773","14.905582880327","13.2267908079646","9.00266554722758","2.78733404165606","5.24187535472947","5.7300746054733","5.50213375587058","6.07472740082881",,
"Singapore","576","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"5.3905450989352","5.33087164233754","7.04458316744292","0.825551283739403","1.33036113047757","3.92104291407761","4.32835288724184","4.4479059620786","4.84956046558492",,
"Thailand","578","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"1.5787047053473","-5.27975893371034","0.80638186233399","-3.1816995744338","3.47418835620078","3.53673054621361","3.64435402025439","3.97933356958822","3.84047651150872",,
"Vietnam","582","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"19.2660172084226","14.0872904275015","20.7797271634193","11.3650835226593","8.20726501475966","12.039588724311","13.399777388245","13.0508922224027","13.0151509955552",,
"Bhutan","514","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"-15.2126369138052","-4.94614983039961","-0.0846696520573883","8.05318789726915","5.40929368029175","-1.91350687769229","-0.225860428208573","-4.79622037070254","0.861615578607294",,
"Kiribati","826","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"5.76206873646443","0.45718037118214","9.62178752328192","7.72544046686714","-14.761012788708","0.741008855808572","-0.0258448878916612","0.128482615335963","0.13851568912787",,
"Maldives","556","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"5.64724854880973","11.3913606235785","-1.52517044536022","6.04367608930981","3.91189119661514","6.07870555251533","-0.658983351200356","-0.0270429879809176","2.8729150872847",,
"Palau","565","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"3.42513658920676","21.3344415729723","9.59849680924215","0.398197262409016","9.88870080346296","5.71980133588356","-0.357622593300749","0.4790374001834","1.56027939892796",,
"Papua New Guinea","853","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"-2.0094808935482","-2.77205892519076","-8.47392412673016","-2.95218175917345","2.76618917999646","0.973519524427626","0.757052092826458","1.00479943249853","0.597333033531226",,
"Solomon Islands","813","External Trade, Imports of Goods and Services, Percent Change","TM_R_PC_PP_PT","Value",,"11.7845537920919","-1.75044458963203","3.49277255239485","4.48642431259492","3.49127554513342","0.0251375263031604","1.71854208860437","3.00497462474172","1.59760172612695",,
